상품코드	상품명	188바코드	88바코드	수량(박스수)	PLT
200001	컵라면 매운맛 12입/상온	18801234600001	8801234600001	40	1
200002	진라면 순한맛 5입/상온	18801234600002	8801234600002	40	1
200003	초코과자 24입/상온	18801234600003	8801234600003	40	1
200004	감자칩 20입/상온	18801234600004	8801234600004	40	1
200005	생수 2L*6입/상온	18801234600005	8801234600005	40	1
200006	생수 500ml*20입/상온	18801234600006	8801234600006	40	1
200007	즉석밥 210g*12입/상온	18801234600007	8801234600007	40	1
200008	즉석밥 300g*8입/상온	18801234600008	8801234600008	40	1
200009	참치캔 100g*6입/상온	18801234600009	8801234600009	80	2
200010	참치캔 150g*4입/상온	18801234600010	8801234600010	80	2
200011	식용유 1.8L/상온	18801234600011	8801234600011	5	0.14
200012	식용유 900ml*2입/상온	18801234600012	8801234600012	3	0.09
200013	간장 1.8L/상온	18801234600013	8801234600013	10	0.28
200014	간장 900ml*2입/상온	18801234600014	8801234600014	6	0.17
200015	된장 1kg/상온	18801234600015	8801234600015	12	0.34
200016	고추장 1kg/상온	18801234600016	8801234600016	2	0.06
200017	즉석국 6입/상온	18801234600017	8801234600017	7	0.2
200018	즉석국 4입/상온	18801234600018	8801234600018	9	0.25
200019	커피믹스 100T/상온	18801234600019	8801234600019	4	0.1
200020	커피믹스 50T/상온	18801234600020	8801234600020	14	0.4
200021	물티슈 80매*10입/상온	18801234600021	8801234600021	6	0.16
200022	물티슈 100매*8입/상온	18801234600022	8801234600022	11	0.32
200023	라면 5입 20봉/상온	18801234600023	8801234600023	4	0.12
200024	라면 4입 15봉/상온	18801234600024	8801234600024	8	0.21
200025	김 10봉/상온	18801234600025	8801234600025	13	0.37
200026	김 20봉/상온	18801234600026	8801234600026	3	0.08
200027	두루마리 휴지 30롤/상온	18801234600027	8801234600027	10	0.27
200028	두루마리 휴지 24롤/상온	18801234600028	8801234600028	6	0.18
200029	세제 3kg/상온	18801234600029	8801234600029	12	0.33
200030	세제 5kg/상온	18801234600030	8801234600030	5	0.15
200031	물엿 1.2kg 12입/상온	18801234600031	8801234600031	8	0.24
200032	설탕 15kg/상온	18801234600032	8801234600032	4	0.11
200033	밀가루 20kg/상온	18801234600033	8801234600033	11	0.31
200034	소금 5kg*4입/상온	18801234600034	8801234600034	7	0.19
200035	식초 1.8L/상온	18801234600035	8801234600035	12	0.35
200036	케찹 500g*10입/상온	18801234600036	8801234600036	2	0.07
200037	마요네즈 500g*10입/상온	18801234600037	8801234600037	9	0.26
200038	참기름 500ml/상온	18801234600038	8801234600038	6	0.17
200039	들기름 500ml/상온	18801234600039	8801234600039	8	0.23
200040	통조림 옥수수 340g*12입/상온	18801234600040	8801234600040	5	0.14
200041	카레 100g*10입/상온	18801234600041	8801234600041	10	0.29
200042	짜장 100g*10입/상온	18801234600042	8801234600042	4	0.1
200043	스팸 200g*12입/상온	18801234600043	8801234600043	14	0.38
200044	어묵 200g*10입/냉장	18801234600044	8801234600044	7	0.2
200045	두부 300g*20입/냉장	18801234600045	8801234600045	6	0.16
200046	우유 1L*10입/냉장	18801234600046	8801234600046	9	0.25
200047	두유 190ml*24입/상온	18801234600047	8801234600047	3	0.09
200048	요구르트 65ml*50입/냉장	18801234600048	8801234600048	12	0.34
200049	아이스크림 70ml*36입/냉동	18801234600049	8801234600049	6	0.18
200050	냉동만두 500g*10입/냉동	18801234600050	8801234600050	10	0.28
200051	냉동피자 400g*8입/냉동	18801234600051	8801234600051	4	0.12
200052	핫도그 90g*20입/냉동	18801234600052	8801234600052	8	0.21
200053	소시지 200g*12입/냉장	18801234600053	8801234600053	5	0.15
200054	계란 30구*5판/냉장	18801234600054	8801234600054	11	0.32
200055	식빵 8입/상온	18801234600055	8801234600055	3	0.08
200056	크래커 200g*10입/상온	18801234600056	8801234600056	13	0.36
200057	초콜릿 40g*24입/상온	18801234600057	8801234600057	6	0.17
200058	사탕 500g*10봉/상온	18801234600058	8801234600058	8	0.24
200059	젤리 100g*20입/상온	18801234600059	8801234600059	4	0.11
200060	껌 5입*30개/상온	18801234600060	8801234600060	10	0.27
